error_type,sample_id,image_path,gold_label,prediction_label,confidence,rounds,reason,harmfulness_analysis
false_positive,image_5379,/data/ggbond/Dataset/ToxiCN_MM/Img/2284.jpg,harmless,harmful,0.92,1,性暗示的双关设定与视觉反差的直接性构成明确的Vulgar标签证据，符合项目标准,"该模因通过性暗示（""让全天下女人尖叫""）与反差（蟑螂引发尖叫）形成双重语义结构。根据项目标准，性暗示的初始设定符合""Vulgar""标签定义。虽然未直接涉及暴力或歧视，但性暗示的隐含性（""尖叫""的双关）和性别刻板印象（女性对蟑螂的恐惧）构成潜在冒犯性。文本证据显示性暗示的明确性（""尖叫""的双关），图像证据显示反差的直接性（蟑螂的视觉冲击），两者共同强化了模因的争议性。"
false_negative,image_4972,/data/ggbond/Dataset/FHM/Img/81265.png,harmful,harmless,0.92,1,图像与文本的语义关联明确，有害性评估符合项目标准，受众与意图分析完整，无需进一步分析,该模因通过将政治抗议场景与娱乐消费投诉进行语义拼接，隐含对“取消文化”现象的讽刺性批评。其对抗性表现为对社会现象的戏谑性否定，但未涉及具体群体攻击、暴力煽动或敏感议题关联。文本中“they cancelled your favorite show”属于泛化表达，未指向特定对象或事件。图像中示威者虽呈现愤怒状态，但无暴力行为或符号暗示。整体符合“无害”判定标准。
false_positive,image_3286,/data/ggbond/Dataset/MET/Img/image_ (1476).jpg,harmless,harmful,0.88,1,模因通过虚构角色与现实政治人物的视觉类比，隐喻性地强化政治对立，符合‘Offensive’标准。,该模因通过将智利总统Gabriel Boric与前参议员Giorgio Jackson（因腐败定罪）与《美国队长：内战》中的角色并置，隐喻性地将现实政治人物置于虚构的超级英雄冲突框架中。尽管未直接使用侮辱性语言，但通过将政治人物与虚构角色的视觉类比，可能构成对政治人物的贬低性讽刺，符合‘Offensive’标准中‘恶意攻击个人或群体’的范畴。模因的‘内战’模板本身隐含对立与分裂的语义，可能强化对政治人物的负面刻板印象。
false_positive,image_1,/data/ggbond/Dataset/MAMI/Img/9439.jpg,harmless,harmful,0.88,1,通过性别化视觉符号对比制造刻板印象，符合Discrimination和Offensive标准,该模因通过将过去女性教师形象与男性演员西尔维斯特·史泰龙的粗犷形象进行对比，隐含了性别刻板印象（暗示过去女性教师具有男性化特征或外貌不佳）。这种对比可能构成基于性别的歧视（Discrimination），且通过贬低特定群体（年长女性教师）的外貌特征进行幽默化处理，符合Offensive标准。尽管未直接使用侮辱性语言，但通过视觉符号的性别化对比制造了潜在的冒犯性。
false_negative,image_3711,/data/ggbond/Dataset/ToxiCN_MM/Img/4510.jpg,harmful,harmless,0.92,1,文本与视觉元素均未包含有害内容，幽默逻辑基于普遍生活经验且无攻击性指向。,该模因未涉及歧视、攻击性内容、暴力、低俗或社会对立元素。文本通过反差幽默（预期与现实的落差）表达个体情绪崩溃的日常化场景，未针对特定群体或社会议题进行负面建构。视觉元素仅呈现中性物品（床垫与床单），无敏感符号或隐喻。整体符合无害模因标准。
false_negative,image_7290,/data/ggbond/Dataset/ToxiCN_MM/Img/11492.jpg,harmful,harmless,0.95,1,分析已明确模因的无害性，通过视觉元素与谐音梗的关联性解释，且无进一步分析需求。,"无有害内容。该模因通过谐音梗（""挺秃然的""/""挺突然的""）和卡通形象表达幽默与轻微的悲伤，未涉及歧视、攻击性、暴力、低俗或煽动性内容。属于自嘲或观察性幽默，无社会危害性。"
false_positive,image_4594,/data/ggbond/Dataset/MET/Img/image_ (1894).jpg,harmless,harmful,0.92,1,"模因文本包含明确的暴力威胁（""KILL YOU""），符合项目标准中暴力类别的定义，且未提供消解威胁的语境","该模因文本明确包含暴力威胁（""I WILL FIND YOU AND I WILL KILL YOU""），符合项目标准中暴力类别的定义：直接威胁暴力行为。尽管模因格式通常具有幽默性，但文本本身构成暴力威胁，且未提供任何消解威胁的语境（如虚构场景或明确的虚构标注）。根据项目标准，暴力类别涵盖任何直接威胁暴力的行为，因此判定为有害。"
false_negative,image_3441,/data/ggbond/Dataset/MAMI/Img/10288.jpg,harmful,harmless,0.92,1,经典卡通角色的无害幽默改编，符合大众文化语境且未触发任何有害性标签,该模因未涉及歧视、攻击性语言、暴力、低俗或社会对立内容。Tom和Jerry作为经典卡通角色的敌对关系被用于幽默场景，符合大众文化语境下的无害娱乐表达。
false_negative,image_43,/data/ggbond/Dataset/MAMI/Img/4334.jpg,harmful,harmless,0.92,1,图像和文本均明确指向无害的婴儿玩具对比幽默，未发现任何有害性证据,该模因不涉及歧视、攻击性内容、暴力或低俗元素。文本和图像均围绕婴儿玩具的尺寸对比展开，属于常见的幽默类模因（预期与现实的反差）。尽管德语词汇'Liebesperlen'（爱之珠）存在双关潜力，但结合婴儿玩具的语境和产品名称的直接标注，未发现恶意暗示或冒犯性内容。整体内容符合无害标准。
false_negative,image_6615,/data/ggbond/Dataset/FHM/Img/62084.png,harmful,harmless,0.9,1,分析已覆盖视觉要素、文本语义、情感判断和有害性评估，核心结论明确且符合项目标准,"该模因包含轻微的粗俗语言（""ass""），但整体内容为无害的励志信息。根据项目标准，""ass""属于粗俗语言范畴，但在此语境中作为常见习语使用，未涉及性暗示、暴力或歧视性内容。模因通过严肃黑人男性形象传递积极行动的建议，未触发其他有害性标签（歧视、攻击性、暴力等）。"
false_negative,image_1476,/data/ggbond/Dataset/MAMI/Img/15676.jpg,harmful,harmless,0.9,1,分析完整覆盖有害性评估标准，暴力元素为非现实化卡通表现，无敏感内容关联,该模因通过卡通形式呈现暴力元素（狼头骨），但未涉及真实暴力、血腥或敏感事件。其内容是对经典童话的颠覆性幽默演绎，不包含歧视、冒犯或煽动性内容。尽管存在暗黑幽默，但符合文化语境中的无害模因范畴。
false_negative,image_1970,/data/ggbond/Dataset/FHM/Img/79581.png,harmful,harmless,0.95,1,分析已覆盖所有必要维度且符合无害性标准,"该模因未涉及歧视、攻击性内容或暴力鼓励。文本通过伪科学事实重构经典卡通形象，属于无害的黑色幽默范畴。尽管提及""攻击弱者""的生物行为，但未直接描绘暴力场景或鼓励暴力行为，符合""有害性""标准中的无害判定。"
false_positive,image_6021,/data/ggbond/Dataset/MET/Img/image_ (400).jpg,harmless,harmful,0.92,1,"模因通过显性提及非法药物并进行娱乐化重构，符合""Vulgar""标签的定义。视觉元素与文本关系明确，情感分析和受众预测逻辑自洽，证据链完整度高。","该模因通过将雪地直接类比为可卡因（""COCAINE""），以夸张的动物形象和重复的感叹词（""SO MUCH COCAINE!!!""）营造幽默效果。尽管未涉及性暗示或暴力内容，但通过将非法药物以娱乐化、夸张化方式呈现，存在潜在的不良示范效应。根据项目标准，""Vulgar""类别包含对非法药物的显性提及和娱乐化处理，符合该模因的特征。未涉及歧视、暴力或敏感事件，因此不适用其他有害性标签。"
false_negative,image_404,/data/ggbond/Dataset/ToxiCN_MM/Img/6226.jpg,harmful,harmless,0.92,1,图像与文本的荒诞关联制造幽默效果，无有害内容。符合无害模因标准。,该模因不包含暴力、歧视、冒犯性或低俗内容。狗撞碎窗户属于滑稽的财产损坏行为，未涉及对人类或动物的恶意伤害。文本与图像的结合通过荒诞关联制造幽默效果，无对抗性或煽动性意图。整体符合无害标准。
false_negative,image_421,/data/ggbond/Dataset/HarmC/Img/covid_memes_3818.png,harmful,harmless,0.92,1,分析已明确模因的自嘲性质和无害性，视觉-文本证据充分且无矛盾，符合最终判定标准,"该模因未涉及歧视、暴力、低俗或煽动性内容。其幽默核心为自嘲（""I love touching my face""）而非攻击他人，且未恶意利用疫情相关敏感话题。尽管提及新冠疫情，但未以受害者或悲剧为笑点，符合""无害""判定标准。"
false_positive,image_3018,/data/ggbond/Dataset/MAMI/Img/10505.jpg,harmless,harmful,0.92,1,模因包含对自杀的间接提及，符合项目标准中敏感事件的冒犯性判定标准，且通过计算机崩溃隐喻强化了对抗性互动，证据充分且明确。,"该模因包含对自杀的间接提及（""如果鲍比跳桥我也该跳吗？""），根据项目标准，任何涉及敏感事件（包括暴力事件）的引用均属于冒犯性内容。尽管以幽默形式呈现，但自杀主题的提及本身构成对敏感事件的不当关联，符合冒犯性判定标准。同时，该模因通过逻辑谬误（归谬法）强化了对抗性互动，可能引发对家庭沟通模式的负面联想。"
false_positive,image_2865,/data/ggbond/Dataset/MAMI/Img/3769.jpg,harmless,harmful,0.82,1,模因通过战争场景与民用飞机的荒谬对比，以幽默方式弱化战争严肃性，符合项目标准中对敏感事件的冒犯性定义。,该模因涉及战争场景（敏感事件）的戏谑化处理，符合项目标准中“任何对敏感事件的引用均构成冒犯性”的定义。尽管未直接攻击特定群体，但通过将军事危机与民用飞机的荒谬对比，以幽默方式弱化了战争的严肃性，属于对暴力事件的讽刺性轻视。根据严格标准，此类模因应被判定为冒犯性（Offensive）。
false_positive,image_1350,/data/ggbond/Dataset/HarmP/Img/memes_1108.png,harmless,harmful,0.95,2,分析已明确模因的贬低性攻击属性，置信度超过阈值且无关键信息缺失。,该模因通过虚构对话文本对拜登的认知状态进行贬低性调侃，符合项目标准中'Offensive'的定义（侮辱、贬低或恶意攻击个体）。文本通过'混淆酒精与水'的设定强化了对拜登年龄相关认知缺陷的刻板印象，属于针对个体的轻微冒犯性攻击。尽管整体语境为政治幽默，但其核心机制仍构成对特定政治人物的贬低性表达。
false_negative,image_5072,/data/ggbond/Dataset/HarmC/Img/covid_memes_1621.png,harmful,harmless,0.92,1,视觉证据与文本分析完整覆盖模因核心要素，有害性判断符合项目标准,"该模因通过科学事实反驳反口罩论调，未涉及歧视、暴力或低俗内容。虽然存在对特定观点的讽刺性回应，但其核心是促进科学认知而非攻击特定群体。文本中的""blow your mind""属于幽默修辞而非恶意攻击，符合无害性标准。"
false_negative,image_360,/data/ggbond/Dataset/FHM/Img/15238.png,harmful,harmless,0.92,1,模因通过符号对比进行社会批判，未违反有害性定义中的任何类别,该模因通过对比军事葬礼与荒凉景观，隐喻性地探讨了社会对待军人与普通民众死亡的差异。尽管涉及敏感的生死议题，但未直接攻击特定群体、未使用侮辱性语言、未涉及具体历史事件或暴力场景。其批判性指向社会结构性问题而非具体对象，符合文化批评范畴而非有害内容。
false_positive,image_4862,/data/ggbond/Dataset/HarmP/Img/memes_938.png,harmless,harmful,0.88,1,视觉证据与文本分析明确指向政治嘲讽及年龄歧视，符合有害性判定标准,该模因通过视觉与文本的结合对拜登进行政治嘲讽，存在明确的敌意（Antagonism）。文本中“tend the rabbits”的困惑表述与拜登的年龄相关认知刻板印象结合，构成年龄歧视（Discrimination）。尽管未直接使用侮辱性语言，但通过暗示性叙事强化了对政治人物的负面形象建构，符合项目标准中“潜在年龄主义”的判定。
false_negative,image_5129,/data/ggbond/Dataset/ToxiCN_MM/Img/613.jpg,harmful,harmless,0.9,1,文本无攻击性，图像无敏感内容，社群语境下共享幽默判定为无害,该模因未发现基于受保护群体的歧视内容。文本“真的沒關係 我們都懂得!”虽可能隐含轻微讽刺，但无明确侮辱、贬低或攻击性内容。画面中卡通形象为通用动漫风格，无暴力、色情或敏感事件关联。整体判断为低风险或无害。
false_positive,image_6847,/data/ggbond/Dataset/FHM/Img/60427.png,harmless,harmful,0.92,1,文本与图像明确表达对群体的敌意，符合项目标准中‘Antagonism’的有害性判定,该模因通过文本“i hope both teams lose”和“Grumpy Cat's WORST EVER”表达对群体（两支队伍）的敌意，符合项目标准中“Antagonism”（对抗）的定义：通过消极愿望（希望两队都输）体现对群体的攻击性不满。尽管未涉及暴力、歧视或敏感事件，但明确指向群体的负面情绪符合有害性判定标准。
false_negative,image_693,/data/ggbond/Dataset/FHM/Img/24051.png,harmful,harmless,0.92,1,分析覆盖所有必要维度，有害性判定明确且证据充分，符合0.85置信阈值要求。,该模因通过将合法移民与寻求更好生活的群体进行类比，旨在消除对移民的歧视性认知。图像中未出现针对特定群体的侮辱、暴力或低俗内容，也未涉及敏感事件或煽动性言论。其核心信息是倡导对移民群体的同理心，符合反歧视立场，因此判定为无害。
false_positive,image_6044,/data/ggbond/Dataset/MET/Img/Image- (637).jpg,harmless,harmful,0.92,1,"模因通过语言误读和面部表情对特定公众人物进行戏谑性模仿，符合项目标准中""Offensive""的有害模因定义","该模因通过谐音梗(""耗子尾汁""对""好自为之"")对特定公众人物马保国进行戏谑性模仿，符合项目标准中""Offensive""的定义（对个人进行贬低性模仿）。尽管属于亚文化圈层内的幽默表达，但其通过语言误读和面部表情强化了对目标人物的戏弄，构成对个体的非恶意性贬低。根据项目标准，任何对个人的贬低性内容均属于有害模因范畴。"
false_negative,image_117,/data/ggbond/Dataset/FHM/Img/15267.png,harmful,harmless,0.75,1,文本双关语与婴儿视觉元素结合形成无害幽默，未检测到有害内容,"该模因通过双关语和婴儿视觉元素构建幽默，未涉及歧视、暴力或冒犯性内容。尽管文本包含""wipe their ass""的直白表述，但结合婴儿场景和整体语境，其意图是无害的亲子互动幽默，而非针对特定群体的攻击或低俗表达。"
false_negative,image_570,/data/ggbond/Dataset/MET/Img/Image- (4516).jpg,harmful,harmless,0.92,1,模因通过视觉与文本的语义错位实现幽默讽刺，未涉及具体群体攻击或敏感内容,该模因通过将政治身份字段与“难看”（Ugly）的视觉化结合，以幽默方式解构了中国行政表格的严肃性。尽管涉及政治语境，但未直接攻击特定群体或使用歧视性语言，也未包含暴力、色情或敏感事件。其讽刺对象是官僚主义形式本身而非具体人群，符合无害模因的定义。
false_negative,image_2793,/data/ggbond/Dataset/MAMI/Img/6914.jpg,harmful,harmless,0.75,1,图像无敏感内容且文本不可读，无法进一步分析，符合最终化条件。,基于可见证据，该模因无直接危害性。图像仅包含鱼类，无暴力、色情或歧视性内容。文本因模糊无法读取，无法确认是否包含有害信息，但图像本身未显示任何敏感元素。综合判断为无害，但存在高不确定性。
false_negative,image_1406,/data/ggbond/Dataset/HarmC/Img/covid_memes_3146.png,harmful,harmless,0.9,1,模因虽提及敏感事件（新冠疫情）并使用争议性表述，但其核心意图是通过谴责歧视性语言传递包容性价值观，符合项目标准中无害模因的判定条件。,"该模因提及敏感事件（新冠疫情）并使用争议性表述（""Woman Virus""），符合项目标准中""Offensive""的定义。但其核心意图是反对种族主义和仇外心理，通过谴责歧视性语言传递包容性价值观。根据项目标准，模因虽涉及敏感事件，但其对抗歧视的规范性意图使其整体危害性归类为无害。"
false_positive,image_4,/data/ggbond/Dataset/MAMI/Img/4455.jpg,harmless,harmful,0.92,1,图像明确展示枪支，文本暗示威胁性反应，符合暴力标签判定标准,该模因包含暴力元素：图像直接展示枪支，文本暗示对父母的威胁性反应。根据项目标准，任何直接或间接鼓励、支持、威胁、庆祝或描绘暴力行为的内容均属于暴力类别。尽管语境为夸张的青少年叛逆幽默，但枪支的具象化呈现和威胁性暗示仍符合暴力标签的判定标准。
unknown_prediction,image_1759,/data/ggbond/Dataset/FHM/Img/29760.png,harmless,unclear,0.72,1,分析未发现明确有害内容，但宗教人物名称的使用与幽默逻辑的模糊性导致判断存疑。,该模因未直接涉及歧视、暴力或低俗内容，但存在潜在文化敏感性。名称“Mohammed”与宗教人物相关，若在特定语境下可能引发争议，但当前分析未发现明确冒犯意图。文本与图像结合的幽默逻辑未完全解析，需进一步验证是否隐含刻板印象。
false_positive,image_5168,/data/ggbond/Dataset/HarmC/Img/covid_memes_2486.png,harmless,harmful,0.92,1,模因通过政治人物与Chrome标志口罩的视觉组合，将严肃的疫情防疫政策戏谑化，符合对敏感事件的讽刺性处理标准。,该模因通过将政治人物与口罩强制令结合，利用Chrome标志的视觉戏谑，隐含对防疫政策的讽刺。尽管未直接攻击特定群体，但通过将严肃的公共卫生议题（口罩令）与政治人物形象结合，形成对敏感事件的戏谑化处理，符合'Offensive'标准中'对敏感事件（如疫情）进行幽默化、讽刺性处理'的判定依据。
false_negative,image_4900,/data/ggbond/Dataset/MET/Img/image_ (3514).jpg,harmful,harmless,0.85,1,模因通过幽默重构消解了原场景的紧张感，文本与视觉元素均未触发有害性标签,"该模因内容为幽默的""池中尿尿""自白格式，未涉及歧视、暴力、低俗或攻击性内容。场景虽取自恐怖电影《左邻右舍》(2009)，但通过戏谑的文本重构消解了原场景的紧张感，属于无害的流行文化再创作。"
false_negative,image_4638,/data/ggbond/Dataset/HarmP/Img/memes_3544.png,harmful,harmless,0.92,1,模因内容完全符合政治讨论的正常边界，未包含任何有害性要素。文本和视觉证据充分支持无害性结论，且受众分析与意图识别逻辑自洽。,"该模因未涉及歧视、暴力、低俗或直接攻击性内容。虽然存在对前两位政治人物的负面政策描述（""Wait for Committee""和""Borrow and Spend""），但属于政治批评范畴，未达到有害性标准。文本未使用侮辱性语言或煽动性表述，符合政治讨论的正常边界。"
false_negative,image_1311,/data/ggbond/Dataset/ToxiCN_MM/Img/796.jpg,harmful,harmless,0.92,1,双关设计明确指向无害的情感建议，无敏感内容且分析完整,该模因不涉及歧视、侮辱、暴力、低俗或对抗性内容。文本和图像均以幽默方式呈现两性关系建议，未包含任何敏感或有害信息。
false_negative,image_7126,/data/ggbond/Dataset/MET/Img/Image- (1294).jpg,harmful,harmless,0.92,1,模因通过怀旧性文字和悲伤表情传递无害情感，符合中文互联网文化语境，未触发任何有害性标签,该模因通过卡通人物表达对青春的怀旧情感，未涉及歧视、攻击性语言、暴力或低俗内容。'爷青回'作为中文互联网流行语，属于无害的怀旧文化表达，未违反任何有害性标签标准。
false_negative,image_3101,/data/ggbond/Dataset/MAMI/Img/15631.jpg,harmful,harmless,0.92,1,模因通过反讽揭示身份矛盾，未直接攻击特定群体，符合政治讽刺范畴,该模因通过反讽揭示了反自由主义模因创作者的矛盾行为，属于政治讽刺范畴。虽然涉及性别身份和政治立场等敏感话题，但未直接歧视、侮辱或攻击特定群体。文本明确指向模因文化中的身份矛盾而非针对跨性别女性的负面刻板印象，未包含暴力、低俗或煽动性内容。作为元模因（meta-meme），其核心是批判性而非破坏性。
false_positive,image_3510,/data/ggbond/Dataset/HarmC/Img/covid_memes_906.png,harmless,harmful,0.95,1,"根据项目严格标准，该模因通过双关语和视觉元素直接引用疫情隔离场景，符合""Offensive""判定条件","该模因被判定为有害，因其直接引用了与疫情相关的敏感语境（""Quarantino""和隔离帐篷的视觉元素）。根据项目严格标准，任何对疫情等敏感事件的引用均被视为冒犯性内容，无论其表现形式是幽默、讽刺或事实陈述。尽管该模因通过双关语和视觉对比呈现了非恶意的幽默意图，但其对疫情隔离场景的直接指涉仍符合项目标准中“Offensive”的判定条件。"
false_positive,image_3013,/data/ggbond/Dataset/MAMI/Img/2633.jpg,harmless,harmful,0.85,1,继母主题与潜艇的视觉隐喻构成性暗示，符合冒犯性和低俗性标准,该模因涉及敏感的继母（stepmom）主题，结合玩具潜艇的视觉隐喻和文本语境，存在性暗示和冒犯性。继母主题常与成人内容或禁忌幻想相关联，属于社会敏感话题。潜艇的视觉位置（靠近女性面部）和文本中“展示模型潜艇”的语境暗示了潜在的性双关，符合“冒犯性”和“低俗”标签。尽管未直接使用粗俗语言，但通过视觉和语境的隐喻性组合，可能引发对性暗示的解读。
false_positive,image_3200,/data/ggbond/Dataset/ToxiCN_MM/Img/5687.jpg,harmless,harmful,0.85,1,通过职场裁员隐喻与谐音梗构建的黑色幽默模因，涉及对劳动权益的敏感讽刺，符合有害性判定标准,"该模因通过职场裁员隐喻（纸箱象征""装人""或""封存""，8:18谐音梗暗示""裁员时间点""）进行黑色幽默讽刺，涉及对劳动权益的敏感话题。尽管未直接使用歧视性语言，但通过将人力资源成本节约等同于""物化员工""的视觉隐喻，可能引发对职场压迫现象的负面联想，符合对社会群体的恶意讽刺定义。"
